epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1711.82,0.63771,0.47891,1.24888,0.96377,0.96953,0.96306,0.78219,0.70486,0.43666,1.35651,0.00058175,0.00058175,0.00058175
56,1745.28,0.63854,0.47708,1.2416,0.94648,0.97745,0.95095,0.74389,0.79126,0.47639,1.46348,0.000569375,0.000569375,0.000569375
57,1778.26,0.63355,0.4768,1.24898,0.95586,0.97637,0.95609,0.74465,0.82424,0.46164,1.48565,0.000557,0.000557,0.000557
58,1809.21,0.62249,0.47964,1.23785,0.96161,0.97688,0.96112,0.78778,0.7111,0.44702,1.36711,0.000544625,0.000544625,0.000544625
59,1840.3,0.62413,0.46916,1.2404,0.96802,0.98148,0.97144,0.77951,0.73648,0.4391,1.37361,0.00053225,0.00053225,0.00053225
60,1871.67,0.62867,0.47232,1.24325,0.95536,0.95743,0.94286,0.66787,0.95797,0.48799,1.70133,0.000519875,0.000519875,0.000519875
61,1902.45,0.61963,0.46934,1.23017,0.94892,0.97201,0.95459,0.75897,0.77951,0.47317,1.41631,0.0005075,0.0005075,0.0005075
62,1932.99,0.61172,0.46473,1.23354,0.95296,0.97274,0.95486,0.73621,0.80724,0.45859,1.43438,0.000495125,0.000495125,0.000495125
63,1963.95,0.61362,0.46053,1.22229,0.95159,0.96875,0.95652,0.78137,0.74344,0.48461,1.38348,0.00048275,0.00048275,0.00048275
64,1995.27,0.61167,0.46659,1.23153,0.94958,0.97276,0.95531,0.7784,0.72743,0.43322,1.36364,0.000470375,0.000470375,0.000470375
65,2026.08,0.60553,0.44993,1.22309,0.96229,0.96114,0.97253,0.80262,0.69306,0.41367,1.33506,0.000458,0.000458,0.000458
66,2056.79,0.60271,0.45358,1.22633,0.95079,0.97039,0.96454,0.77796,0.73502,0.4468,1.37684,0.000445625,0.000445625,0.000445625
67,2087.46,0.60124,0.44587,1.22103,0.95511,0.97745,0.95836,0.79021,0.7226,0.43703,1.38131,0.00043325,0.00043325,0.00043325
68,2118.25,0.5991,0.44609,1.21883,0.95535,0.98288,0.96283,0.78517,0.72965,0.44569,1.37423,0.000420875,0.000420875,0.000420875
69,2149.23,0.60433,0.44822,1.22262,0.96051,0.97269,0.95373,0.77282,0.71685,0.42845,1.36012,0.0004085,0.0004085,0.0004085
70,2180.11,0.58526,0.42528,1.20721,0.9568,0.95837,0.94872,0.75943,0.76266,0.43736,1.41335,0.000396125,0.000396125,0.000396125
71,2211.29,0.58688,0.4308,1.21986,0.94219,0.97262,0.95291,0.78193,0.72795,0.41595,1.35936,0.00038375,0.00038375,0.00038375
72,2242.16,0.57523,0.43437,1.20166,0.94778,0.96658,0.95702,0.77106,0.75943,0.42431,1.41566,0.000371375,0.000371375,0.000371375
73,2272.75,0.58277,0.43541,1.20761,0.9428,0.96658,0.96004,0.79899,0.70805,0.41198,1.33965,0.000359,0.000359,0.000359
74,2303.26,0.5777,0.43699,1.20994,0.94573,0.96568,0.95253,0.77196,0.71326,0.41455,1.35091,0.000346625,0.000346625,0.000346625
75,2334.5,0.58493,0.43506,1.20919,0.94733,0.97593,0.95432,0.77101,0.74311,0.4257,1.38651,0.00033425,0.00033425,0.00033425
76,2372.04,0.56726,0.41733,1.19572,0.94284,0.97384,0.94738,0.76643,0.7232,0.4244,1.36404,0.000321875,0.000321875,0.000321875
77,2407.95,0.57454,0.42792,1.19445,0.94338,0.98288,0.96347,0.79394,0.6809,0.40998,1.32622,0.0003095,0.0003095,0.0003095
78,2447.06,0.56818,0.4232,1.19473,0.9541,0.96427,0.95259,0.78387,0.71113,0.40318,1.3498,0.000297125,0.000297125,0.000297125
79,2480.49,0.55219,0.42249,1.18811,0.95483,0.97745,0.96181,0.79884,0.67238,0.40329,1.30368,0.00028475,0.00028475,0.00028475
80,2512.96,0.54981,0.41355,1.1908,0.96747,0.98275,0.97382,0.79926,0.67801,0.39255,1.30277,0.000272375,0.000272375,0.000272375
81,2546,0.55513,0.41551,1.18378,0.94677,0.98013,0.95624,0.78722,0.67201,0.40981,1.31219,0.00026,0.00026,0.00026
82,2578.29,0.55685,0.41737,1.19724,0.95462,0.96669,0.95805,0.79275,0.67213,0.40018,1.30149,0.000247625,0.000247625,0.000247625
83,2610.39,0.54921,0.41815,1.17825,0.96299,0.97714,0.96555,0.80164,0.66064,0.38917,1.27955,0.00023525,0.00023525,0.00023525
84,2642.19,0.55103,0.40994,1.18506,0.94462,0.97043,0.951,0.7813,0.68909,0.39734,1.32251,0.000222875,0.000222875,0.000222875
85,2674.44,0.54158,0.4032,1.17815,0.95543,0.97745,0.95579,0.78516,0.69402,0.41515,1.31711,0.0002105,0.0002105,0.0002105
86,2706.26,0.55559,0.41891,1.18708,0.95621,0.98288,0.95892,0.78635,0.71143,0.42437,1.33923,0.000198125,0.000198125,0.000198125
87,2739.51,0.54485,0.40231,1.18044,0.94869,0.96658,0.95599,0.79678,0.71063,0.40882,1.34228,0.00018575,0.00018575,0.00018575
88,2776.93,0.53222,0.39902,1.17621,0.95036,0.97745,0.96365,0.79673,0.68472,0.39359,1.30558,0.000173375,0.000173375,0.000173375
89,2810.56,0.54466,0.40292,1.1723,0.94628,0.96739,0.94701,0.7875,0.68332,0.3959,1.31203,0.000161,0.000161,0.000161
90,2843.23,0.53191,0.39228,1.17412,0.94903,0.9818,0.95611,0.79534,0.67205,0.39419,1.30105,0.000148625,0.000148625,0.000148625
91,2911.31,0.4879,0.3215,1.27434,0.95452,0.97066,0.95121,0.79439,0.68026,0.40216,1.32246,0.00013625,0.00013625,0.00013625
92,2941.75,0.46115,0.28751,1.23252,0.95569,0.97745,0.95478,0.78728,0.69418,0.40591,1.33096,0.000123875,0.000123875,0.000123875
93,2972.4,0.46331,0.29152,1.23623,0.95163,0.97745,0.94959,0.77943,0.70014,0.41006,1.34708,0.0001115,0.0001115,0.0001115
94,3004.21,0.4486,0.28477,1.22359,0.95692,0.98221,0.95398,0.79618,0.66746,0.39158,1.30547,9.9125e-05,9.9125e-05,9.9125e-05
95,3031.37,0.43921,0.27791,1.21218,0.95854,0.97901,0.95337,0.7912,0.68195,0.39969,1.32687,8.675e-05,8.675e-05,8.675e-05
96,3057.28,0.42664,0.27001,1.21131,0.95092,0.97201,0.95836,0.79079,0.695,0.40624,1.34387,7.4375e-05,7.4375e-05,7.4375e-05
97,3083.42,0.42392,0.27226,1.19274,0.95596,0.98033,0.95948,0.79832,0.67987,0.39732,1.32331,6.2e-05,6.2e-05,6.2e-05
98,3109.47,0.42923,0.27125,1.20192,0.96014,0.97745,0.95624,0.79796,0.66442,0.39018,1.30827,4.9625e-05,4.9625e-05,4.9625e-05
99,3136.67,0.41731,0.26674,1.20317,0.94272,0.97328,0.95303,0.79127,0.69728,0.40249,1.34866,3.725e-05,3.725e-05,3.725e-05
100,3162.78,0.4187,0.2627,1.19626,0.94559,0.97201,0.95336,0.78495,0.68431,0.3969,1.33512,2.4875e-05,2.4875e-05,2.4875e-05
